agency,date,time,event_num,incident_num,nature_code,Nature_Description,beat_zone,event_source,disposition_code,Hour,Year,Num,NumDay,NumMonth,YearMon,Location,NatureMajor
SRP,08/16/2017 12:00:00 AM,0054,172280011,,CTW,CHECK THE WELFARE,9,PHONE,HRI,0,2017,1,3 Wed,,2017_08,"(38.44349121446353, -122.70994940044815)",CHECK THE WELFARE
SRP,08/15/2017 12:00:00 AM,1726,172270334,,CO,COUNTY / CITY ORDINANCE,8,PHONE,HRI,17,2017,1,2 Tue,,2017_08,"(38.41647530237379, -122.69840066154892)",COUNTY / CITY ORDINANCE
SRP,08/15/2017 12:00:00 AM,1445,172270278,,CO,COUNTY / CITY ORDINANCE,7,PHONE,HRI,14,2017,1,2 Tue,,2017_08,"(38.41000973949091, -122.73234343697013)",COUNTY / CITY ORDINANCE
SRP,08/15/2017 12:00:00 AM,1743,172270341,,1066,SUSPICIOUS PERSON,5,PHONE,HRI,17,2017,1,2 Tue,,2017_08,"(38.44206892763259, -122.76954927893428)",SUSPICIOUS PERSON
SRP,08/15/2017 12:00:00 AM,1637,172270318,,UNWANTED,UNWANTED GUEST,9,PHONE,HRI,16,2017,1,2 Tue,,2017_08,"(38.44483798535355, -122.71509199029525)",UNWANTED GUEST
SRP,08/15/2017 12:00:00 AM,1718,172270330,,1017,SECURITYCHECK,9,OFFICER,HRI,17,2017,1,2 Tue,,2017_08,"(38.43689776305273, -122.71268389045646)",SECURITYCHECK
SRP,08/15/2017 12:00:00 AM,2010,172270397,,1066,SUSPICIOUS PERSON,1,PHONE,HRI,20,2017,1,2 Tue,,2017_08,"(38.47946310820557, -122.74748294677751)",SUSPICIOUS PERSON
SRP,08/15/2017 12:00:00 AM,2341,172270444,,1066,SUSPICIOUS PERSON,9,OFFICER,HRI,23,2017,1,2 Tue,,2017_08,"(38.441361675817504, -122.71418783448578)",SUSPICIOUS PERSON
SRP,08/15/2017 12:00:00 AM,1624,172270313,,647F,DRUNK IN PUBLIC,2,PHONE,HRI,16,2017,1,2 Tue,,2017_08,"(38.46114889435066, -122.7160130858798)",OTHER
SRP,08/16/2017 12:00:00 AM,1659,172280269,,UNWANTED,UNWANTED GUEST,2,PHONE,HRI,16,2017,1,3 Wed,,2017_08,"(38.46114889435066, -122.7160130858798)",UNWANTED GUEST
SRP,08/16/2017 12:00:00 AM,1351,172280207,,SC,SUSPICIOUS CIRCUMSTANCES,9,PHONE,HRI,13,2017,1,3 Wed,,2017_08,"(38.440302124750374, -122.71501169502221)",OTHER
SRP,08/16/2017 12:00:00 AM,0939,172280095,,AASR,AGENCY ASSIST - BY SANTA ROSA PD,9,OFFICER,HRI,9,2017,1,3 Wed,,2017_08,"(38.43972095592681, -122.71971925262682)",OTHER
SRP,08/17/2017 12:00:00 AM,0256,172290029,,OWS,OUT WITH SUBJECT,8,OFFICER,HRI,2,2017,1,4 Thu,,2017_08,"(38.427209525294565, -122.71319818949104)",OUT WITH SUBJECT
SRP,08/17/2017 12:00:00 AM,0054,172290012,,1017,SECURITYCHECK,8,OFFICER,HRI,0,2017,1,4 Thu,,2017_08,"(38.43047946450742, -122.71016228371643)",SECURITYCHECK
SRP,08/16/2017 12:00:00 AM,1238,172280173,,602,TRESPASS,3,PHONE,HRI,12,2017,1,3 Wed,,2017_08,"(38.44732388034912, -122.73033395122792)",OTHER
SRP,08/16/2017 12:00:00 AM,1003,172280103,,CO,COUNTY / CITY ORDINANCE,9,PHONE,HRI,10,2017,1,3 Wed,,2017_08,"(38.439828182964625, -122.7210191303497)",COUNTY / CITY ORDINANCE
SRP,08/16/2017 12:00:00 AM,1927,172280335,,488JO,PETTY THEFT JUST OCCURRED,2,PHONE,HRI,19,2017,1,3 Wed,,2017_08,"(38.444494416085895, -122.70396426059943)",OTHER
SRP,08/16/2017 12:00:00 AM,1810,172280305,,CTW,CHECK THE WELFARE,5,PHONE,HRI,18,2017,1,3 Wed,,2017_08,"(38.427611875748745, -122.74089470302116)",CHECK THE WELFARE
SRP,08/16/2017 12:00:00 AM,1343,172280204,,CO,COUNTY / CITY ORDINANCE,4,PHONE,HRI,13,2017,1,3 Wed,,2017_08,"(38.4678382674578, -122.71153953788821)",COUNTY / CITY ORDINANCE
SRP,08/17/2017 12:00:00 AM,0038,172290005,,1017,SECURITYCHECK,6,OFFICER,HRI,0,2017,1,4 Thu,,2017_08,"(38.456616222717635, -122.64693034189175)",SECURITYCHECK
SRP,08/17/2017 12:00:00 AM,0411,172290037,,UNWANTED,UNWANTED GUEST,8,PHONE,HRI,4,2017,1,4 Thu,,2017_08,"(38.41284844403854, -122.71269197525629)",UNWANTED GUEST
SRP,08/16/2017 12:00:00 AM,0903,172280079,,SLEEPER,SUBJ SLEEPING,9,OFFICER,HRI,9,2017,1,3 Wed,,2017_08,"(38.44032245010557, -122.72102062505091)",SUBJ SLEEPING
SRP,08/16/2017 12:00:00 AM,1807,172280304,,1154O,SUSPICIOUS VEH OCCUPIED,5,OFFICER,HRI,18,2017,1,3 Wed,,2017_08,"(38.42728268671444, -122.74340814830671)",SUSPICIOUS VEH OCCUPIED
SRP,08/16/2017 12:00:00 AM,0629,172280044,,1017,SECURITYCHECK,3,PHONE,HRI,6,2017,1,3 Wed,,2017_08,"(38.45041923112754, -122.75711716160339)",SECURITYCHECK
SRP,08/16/2017 12:00:00 AM,1952,172280342,,CO,COUNTY / CITY ORDINANCE,2,PHONE,HRI,19,2017,1,3 Wed,,2017_08,"(38.461364407066284, -122.71491163342462)",COUNTY / CITY ORDINANCE
SRP,08/16/2017 12:00:00 AM,1433,172280218,,AASR,AGENCY ASSIST - BY SANTA ROSA PD,1,OFFICER,HRI,14,2017,1,3 Wed,,2017_08,"(38.467869332602376, -122.73293651513445)",OTHER
SRP,08/16/2017 12:00:00 AM,1102,172280127,,IC,IN CUSTODY,1,PHONE,HRI,11,2017,1,3 Wed,,2017_08,"(38.45789452383973, -122.73185636382087)",OTHER
SRP,08/16/2017 12:00:00 AM,1221,172280162,170010757,WAR,WARRANT ATTEMPT,9,OFFICER,HRI,12,2017,1,3 Wed,,2017_08,"(38.441205388274064, -122.71237071486168)",OTHER
SRP,08/17/2017 12:00:00 AM,0421,172290038,,415V,DISTURBANCE VERBAL,1,PHONE,HRI,4,2017,1,4 Thu,,2017_08,"(38.45996847493274, -122.7326075133945)",OTHER
SRP,08/16/2017 12:00:00 AM,1953,172280344,,1066,SUSPICIOUS PERSON,2,PHONE,HRI,19,2017,1,3 Wed,,2017_08,"(38.46304477125641, -122.72024756364773)",SUSPICIOUS PERSON
SRP,08/16/2017 12:00:00 AM,0728,172280050,,INFO,INFORMATION,9,PHONE,HRI,7,2017,1,3 Wed,,2017_08,"(38.435213716743945, -122.7136969931988)",OTHER
SRP,08/16/2017 12:00:00 AM,1636,172280263,,602,TRESPASS,6,PHONE,HRI,16,2017,1,3 Wed,,2017_08,"(38.46044255309574, -122.66985754635537)",OTHER
SRP,08/16/2017 12:00:00 AM,1919,172280331,,EXPAT,EXTRA PATROL,1,PHONE,HRI,19,2017,1,3 Wed,,2017_08,"(38.45980488724136, -122.73112157803918)",OTHER
SRP,08/16/2017 12:00:00 AM,2030,172280357,,1066,SUSPICIOUS PERSON,1,PHONE,HRI,20,2017,1,3 Wed,,2017_08,"(38.4708243728999, -122.73244638721488)",SUSPICIOUS PERSON
SRP,08/16/2017 12:00:00 AM,1152,172280150,,UNWANTED,UNWANTED GUEST,1,PHONE,HRI,11,2017,1,3 Wed,,2017_08,"(38.45982978925237, -122.73325916533422)",UNWANTED GUEST
SRP,08/16/2017 12:00:00 AM,1823,172280309,,1066,SUSPICIOUS PERSON,9,PHONE,HRI,18,2017,1,3 Wed,,2017_08,"(38.44032245010557, -122.72102062505091)",SUSPICIOUS PERSON
SRP,08/16/2017 12:00:00 AM,0938,172280093,,CO,COUNTY / CITY ORDINANCE,2,PHONE,HRI,9,2017,1,3 Wed,,2017_08,"(38.45883640755479, -122.71251854831469)",COUNTY / CITY ORDINANCE
SRP,08/16/2017 12:00:00 AM,1115,172280134,,UNWANTED,UNWANTED GUEST,1,PHONE,HRI,11,2017,1,3 Wed,,2017_08,"(38.4590392388321, -122.73364568669696)",UNWANTED GUEST
SRP,08/16/2017 12:00:00 AM,1407,172280210,,CO,COUNTY / CITY ORDINANCE,5,PHONE,HRI,14,2017,1,3 Wed,,2017_08,"(38.431539027112805, -122.72130556513935)",COUNTY / CITY ORDINANCE
SRP,08/16/2017 12:00:00 AM,1532,172280233,,MD,MAN DOWN,2,PHONE,HRI,15,2017,1,3 Wed,,2017_08,"(38.474535470038106, -122.7274613702823)",MAN DOWN
SRP,08/16/2017 12:00:00 AM,1519,172280230,,CO,COUNTY / CITY ORDINANCE,1,PHONE,HRI,15,2017,1,3 Wed,,2017_08,"(38.46038980141903, -122.73285280888221)",COUNTY / CITY ORDINANCE
SRP,08/16/2017 12:00:00 AM,1627,172280260,,415V,DISTURBANCE VERBAL,2,PHONE,HRI,16,2017,1,3 Wed,,2017_08,"(38.46304477125641, -122.72024756364773)",OTHER
SRP,08/16/2017 12:00:00 AM,1604,172280246,,CO,COUNTY / CITY ORDINANCE,6,PHONE,HRI,16,2017,1,3 Wed,,2017_08,"(38.452382397877756, -122.67376286362888)",COUNTY / CITY ORDINANCE
SRP,08/16/2017 12:00:00 AM,2227,172280395,,OWS,OUT WITH SUBJECT,2,OFFICER,HRI,22,2017,1,3 Wed,,2017_08,"(38.44610303611899, -122.71832748523616)",OUT WITH SUBJECT
SRP,08/16/2017 12:00:00 AM,1527,172280232,,UNWANTED,UNWANTED GUEST,3,PHONE,HRI,15,2017,1,3 Wed,,2017_08,"(38.445907533029654, -122.73974006775506)",UNWANTED GUEST
SRP,08/16/2017 12:00:00 AM,0928,172280087,,CO,COUNTY / CITY ORDINANCE,3,PHONE,HRI,9,2017,1,3 Wed,,2017_08,"(38.445441235672085, -122.74350974004129)",COUNTY / CITY ORDINANCE
SRP,08/16/2017 12:00:00 AM,2240,172280400,,CTW,CHECK THE WELFARE,2,PHONE,HRI,22,2017,1,3 Wed,,2017_08,"(38.463474820670896, -122.71732863652257)",CHECK THE WELFARE
SRP,08/16/2017 12:00:00 AM,1129,172280139,,SLEEPER,SUBJ SLEEPING,9,PHONE,HRI,11,2017,1,3 Wed,,2017_08,"(38.441194804086265, -122.71275117816273)",SUBJ SLEEPING
SRP,08/16/2017 12:00:00 AM,2000,172280348,,T,TRAFFIC STOP,1,OFFICER,HRI,20,2017,1,3 Wed,,2017_08,"(38.46889761758438, -122.74604164202587)",OTHER
SRP,08/16/2017 12:00:00 AM,1801,172280300,,CO,COUNTY / CITY ORDINANCE,2,OFFICER,HRI,18,2017,1,3 Wed,,2017_08,"(38.47402895217978, -122.72328549243547)",COUNTY / CITY ORDINANCE
SRP,08/16/2017 12:00:00 AM,2234,172280398,,T,TRAFFIC STOP,8,OFFICER,HRI,22,2017,1,3 Wed,,2017_08,"(38.42425852264441, -122.71349337818177)",OTHER
SRP,08/17/2017 12:00:00 AM,0941,172290108,,UNWANTED,UNWANTED GUEST,5,PHONE,HRI,9,2017,1,4 Thu,,2017_08,"(38.434493087984926, -122.74306769323636)",UNWANTED GUEST
SRP,08/17/2017 12:00:00 AM,1529,172290267,,1066,SUSPICIOUS PERSON,3,PHONE,HRI,15,2017,1,4 Thu,,2017_08,"(38.45212598204753, -122.75015123691993)",SUSPICIOUS PERSON
SRP,08/17/2017 12:00:00 AM,1307,172290216,,1066,SUSPICIOUS PERSON,1,PHONE,HRI,13,2017,1,4 Thu,,2017_08,"(38.4804022376446, -122.73592618575849)",SUSPICIOUS PERSON
SRP,08/17/2017 12:00:00 AM,2049,172290381,,CTW,CHECK THE WELFARE,9,PHONE,HRI,20,2017,1,4 Thu,,2017_08,"(38.439626872911305, -122.71585683696057)",CHECK THE WELFARE
SRP,08/17/2017 12:00:00 AM,1634,172290288,,UNWANTED,UNWANTED GUEST,5,PHONE,HRI,16,2017,1,4 Thu,,2017_08,"(38.43232305211171, -122.72546430741387)",UNWANTED GUEST
SRP,08/18/2017 12:00:00 AM,0533,172300039,,AASR,AGENCY ASSIST - BY SANTA ROSA PD,1,PHONE,HRI,5,2017,1,5 Fri,,2017_08,"(38.45953938590472, -122.72706772590558)",OTHER
SRP,08/17/2017 12:00:00 AM,1307,172290214,,CO,COUNTY / CITY ORDINANCE,4,PHONE,HRI,13,2017,1,4 Thu,,2017_08,"(38.46209556173201, -122.70765459531998)",COUNTY / CITY ORDINANCE
SRP,08/17/2017 12:00:00 AM,0941,172290107,,CO,COUNTY / CITY ORDINANCE,8,PHONE,HRI,9,2017,1,4 Thu,,2017_08,"(38.41605812548453, -122.70739090010339)",COUNTY / CITY ORDINANCE
SRP,08/17/2017 12:00:00 AM,1234,172290199,,415,DISTURBANCE,5,PHONE,HRI,12,2017,1,4 Thu,,2017_08,"(38.43059105208343, -122.7417843541048)",DISTURBANCE
SRP,08/18/2017 12:00:00 AM,0514,172300034,,415U,DISTURBANCE UNWANTED GUEST,2,PHONE,HRI,5,2017,1,5 Fri,,2017_08,"(38.46155660492562, -122.71713126397778)",DISTURBANCE UNWANTED GUEST
SRP,08/17/2017 12:00:00 AM,1649,172290295,,1066,SUSPICIOUS PERSON,8,PHONE,HRI,16,2017,1,4 Thu,,2017_08,"(38.42947606568262, -122.71212815582781)",SUSPICIOUS PERSON
SRP,08/17/2017 12:00:00 AM,1952,172290364,,CO,COUNTY / CITY ORDINANCE,1,PHONE,HRI,19,2017,1,4 Thu,,2017_08,"(38.46038980141903, -122.73285280888221)",COUNTY / CITY ORDINANCE
SRP,08/18/2017 12:00:00 AM,0058,172300015,,1017,SECURITYCHECK,1,OFFICER,HRI,0,2017,1,5 Fri,,2017_08,"(38.47685424173684, -122.73767815725306)",SECURITYCHECK
SRP,08/17/2017 12:00:00 AM,1408,172290243,,UNWANTED,UNWANTED GUEST,5,PHONE,HRI,14,2017,1,4 Thu,,2017_08,"(38.4319606335986, -122.74359643933083)",UNWANTED GUEST
SRP,08/17/2017 12:00:00 AM,2058,172290383,,415U,DISTURBANCE UNWANTED GUEST,1,PHONE,HRI,20,2017,1,4 Thu,,2017_08,"(38.46883380988099, -122.74358552508367)",DISTURBANCE UNWANTED GUEST
SRP,08/17/2017 12:00:00 AM,1421,172290248,170010815,IC,IN CUSTODY,8,PHONE,HRI,14,2017,1,4 Thu,,2017_08,"(38.41726832455577, -122.70930857064513)",OTHER
SRP,08/17/2017 12:00:00 AM,1229,172290196,,CO,COUNTY / CITY ORDINANCE,2,PHONE,HRI,12,2017,1,4 Thu,,2017_08,"(38.461364407066284, -122.71491163342462)",COUNTY / CITY ORDINANCE
SRP,08/17/2017 12:00:00 AM,1722,172290313,,415,DISTURBANCE,5,PHONE,HRI,17,2017,1,4 Thu,,2017_08,"(38.42808802488693, -122.7402957251615)",DISTURBANCE
SRP,08/17/2017 12:00:00 AM,1416,172290245,170010813,OWS,OUT WITH SUBJECT,9,OFFICER,HRI,14,2017,1,4 Thu,,2017_08,"(38.43436960037504, -122.71874720449728)",OUT WITH SUBJECT
SRP,08/17/2017 12:00:00 AM,1050,172290145,,LF,LAW ENFORCEMENT AND FIRE RELATED EVENT,9,PHONE,HRI,10,2017,1,4 Thu,,2017_08,"(38.43870389884352, -122.71368994743042)",OTHER
SRP,08/17/2017 12:00:00 AM,1030,172290137,,CO,COUNTY / CITY ORDINANCE,1,PHONE,HRI,10,2017,1,4 Thu,,2017_08,"(38.47274597308014, -122.7351347443022)",COUNTY / CITY ORDINANCE
SRP,08/17/2017 12:00:00 AM,0946,172290113,,OWS,OUT WITH SUBJECT,5,OFFICER,HRI,9,2017,1,4 Thu,,2017_08,"(38.428843287554905, -122.74198963314248)",OUT WITH SUBJECT
SRP,08/17/2017 12:00:00 AM,1505,172290257,,1021,TELEPHONE,9,PHONE,HRI,15,2017,1,4 Thu,,2017_08,"(38.43787654627375, -122.72572316932073)",OTHER
SRP,08/17/2017 12:00:00 AM,0919,172290102,,CO,COUNTY / CITY ORDINANCE,,OFFICER,HRI,9,2017,1,4 Thu,,2017_08,"(38.430700076517795, -122.73287657637961)",COUNTY / CITY ORDINANCE
SRP,08/17/2017 12:00:00 AM,2230,172290419,,SC,SUSPICIOUS CIRCUMSTANCES,4,PHONE,HRI,22,2017,1,4 Thu,,2017_08,"(38.478159772046276, -122.66744566212833)",OTHER
SRP,08/17/2017 12:00:00 AM,1410,172290244,,415,DISTURBANCE,1,PHONE,HRI,14,2017,1,4 Thu,,2017_08,"(38.45996847493274, -122.7326075133945)",DISTURBANCE
SRP,08/18/2017 12:00:00 AM,0443,172300032,,1017,SECURITYCHECK,5,OFFICER,HRI,4,2017,1,5 Fri,,2017_08,"(38.431539048906856, -122.72130207437141)",SECURITYCHECK
SRP,08/17/2017 12:00:00 AM,2311,172290428,,T,TRAFFIC STOP,3,OFFICER,HRI,23,2017,1,4 Thu,,2017_08,"(38.45258516070066, -122.74624149778882)",OTHER
SRP,08/17/2017 12:00:00 AM,1824,172290334,,CO,COUNTY / CITY ORDINANCE,5,PHONE,HRI,18,2017,1,4 Thu,,2017_08,"(38.4319606335986, -122.74359643933083)",COUNTY / CITY ORDINANCE
SRP,08/17/2017 12:00:00 AM,2356,172290442,,UNWANTED,UNWANTED GUEST,5,PHONE,HRI,23,2017,1,4 Thu,,2017_08,"(38.42901374909752, -122.74110123042435)",UNWANTED GUEST
SRP,08/17/2017 12:00:00 AM,1250,172290208,,MD,MAN DOWN,2,PHONE,HRI,12,2017,1,4 Thu,,2017_08,"(38.461007226313, -122.71716067445551)",MAN DOWN
SRP,08/17/2017 12:00:00 AM,1118,172290154,,CO,COUNTY / CITY ORDINANCE,2,PHONE,HRI,11,2017,1,4 Thu,,2017_08,"(38.468765393844876, -122.70543287343276)",COUNTY / CITY ORDINANCE
SRP,08/17/2017 12:00:00 AM,1313,172290220,,314,INDECENT EXPOSURE,9,PHONE,HRI,13,2017,1,4 Thu,,2017_08,"(38.4432643350121, -122.71556855510876)",OTHER
SRP,08/17/2017 12:00:00 AM,1853,172290346,,1017,SECURITYCHECK,1,PHONE,HRI,18,2017,1,4 Thu,,2017_08,"(38.45918599153348, -122.73085331991605)",SECURITYCHECK
SRP,08/17/2017 12:00:00 AM,1118,172290153,,UNWANTED,UNWANTED GUEST,9,PHONE,HRI,11,2017,1,4 Thu,,2017_08,"(38.44060173812669, -122.72114913399338)",UNWANTED GUEST
SRP,08/17/2017 12:00:00 AM,0706,172290055,,SLEEPER,SUBJ SLEEPING,3,PHONE,HRI,7,2017,1,4 Thu,,2017_08,"(38.44672557104757, -122.72984946968418)",SUBJ SLEEPING
SRP,08/17/2017 12:00:00 AM,0827,172290079,,OWS,OUT WITH SUBJECT,9,OFFICER,HRI,8,2017,1,4 Thu,,2017_08,"(38.44060847304587, -122.70357684417716)",OUT WITH SUBJECT
SRP,08/17/2017 12:00:00 AM,0739,172290069,,1017,SECURITYCHECK,5,PHONE,HRI,7,2017,1,4 Thu,,2017_08,"(38.43059105208343, -122.7417843541048)",SECURITYCHECK
SRP,08/17/2017 12:00:00 AM,0856,172290089,,CO,COUNTY / CITY ORDINANCE,8,PHONE,HRI,8,2017,1,4 Thu,,2017_08,"(38.43974627774429, -122.69722800642096)",COUNTY / CITY ORDINANCE
SRP,08/17/2017 12:00:00 AM,0834,172290082,,CTW,CHECK THE WELFARE,9,PHONE,HRI,8,2017,1,4 Thu,,2017_08,"(38.44253502738139, -122.7122757304552)",CHECK THE WELFARE
SRP,08/17/2017 12:00:00 AM,1021,172290131,,537,DEFRAUD INNKEEPER,1,PHONE,HRI,10,2017,1,4 Thu,,2017_08,"(38.45953938590472, -122.72706772590558)",OTHER
SRP,08/18/2017 12:00:00 AM,0530,172300038,,415U,DISTURBANCE UNWANTED GUEST,9,PHONE,HRI,5,2017,1,5 Fri,,2017_08,"(38.440971421910795, -122.7191103668332)",DISTURBANCE UNWANTED GUEST
SRP,08/17/2017 12:00:00 AM,1208,172290181,,UNWANTED,UNWANTED GUEST,5,PHONE,HRI,12,2017,1,4 Thu,,2017_08,"(38.43258199791884, -122.74390313311513)",UNWANTED GUEST
SRP,08/17/2017 12:00:00 AM,1844,172290342,,CO,COUNTY / CITY ORDINANCE,2,PHONE,HRI,18,2017,1,4 Thu,,2017_08,"(38.461364407066284, -122.71491163342462)",COUNTY / CITY ORDINANCE
SRP,08/17/2017 12:00:00 AM,1908,172290349,,1154O,SUSPICIOUS VEH OCCUPIED,3,PHONE,HRI,19,2017,1,4 Thu,,2017_08,"(38.455026346775306, -122.73983446541902)",SUSPICIOUS VEH OCCUPIED
SRP,08/17/2017 12:00:00 AM,0911,172290100,,OWS,OUT WITH SUBJECT,9,OFFICER,HRI,9,2017,1,4 Thu,,2017_08,"(38.43436960037504, -122.71874720449728)",OUT WITH SUBJECT
SRP,08/18/2017 12:00:00 AM,0327,172300030,170010836,T,TRAFFIC STOP,1,OFFICER,HRI,3,2017,1,5 Fri,,2017_08,"(38.46911798770976, -122.73262449184138)",OTHER
SRP,08/17/2017 12:00:00 AM,0929,172290104,,OWS,OUT WITH SUBJECT,5,OFFICER,HRI,9,2017,1,4 Thu,,2017_08,"(38.42898878118002, -122.74156874809067)",OUT WITH SUBJECT
SRP,08/17/2017 12:00:00 AM,1116,172290152,,415,DISTURBANCE,1,PHONE,HRI,11,2017,1,4 Thu,,2017_08,"(38.45918599153348, -122.73085331991605)",DISTURBANCE
SRP,08/17/2017 12:00:00 AM,2331,172290436,,1017,SECURITYCHECK,9,OFFICER,HRI,23,2017,1,4 Thu,,2017_08,"(38.438947357305544, -122.7071426125603)",SECURITYCHECK
SRP,08/19/2017 12:00:00 AM,0107,172310025,,OWS,OUT WITH SUBJECT,2,OFFICER,HRI,1,2017,1,6 Sat,,2017_08,"(38.46096379697441, -122.7245641802126)",OUT WITH SUBJECT
SRP,08/18/2017 12:00:00 AM,1809,172300386,,SLEEPER,SUBJ SLEEPING,2,PHONE,HRI,18,2017,1,5 Fri,,2017_08,"(38.4429203646613, -122.70451438603085)",SUBJ SLEEPING
SRP,08/18/2017 12:00:00 AM,1542,172300316,,CO,COUNTY / CITY ORDINANCE,1,PHONE,HRI,15,2017,1,5 Fri,,2017_08,"(38.47131400413952, -122.73144544184301)",COUNTY / CITY ORDINANCE
SRP,08/18/2017 12:00:00 AM,1111,172300175,170010845,415U,DISTURBANCE UNWANTED GUEST,9,PHONE,HRI,11,2017,1,5 Fri,,2017_08,"(38.4416768369733, -122.71206467208616)",DISTURBANCE UNWANTED GUEST
SRP,08/18/2017 12:00:00 AM,2013,172300434,,1017,SECURITYCHECK,2,OFFICER,HRI,20,2017,1,5 Fri,,2017_08,"(38.467774365556075, -122.72096585211983)",SECURITYCHECK
SRP,08/19/2017 12:00:00 AM,0041,172310015,,OWS,OUT WITH SUBJECT,2,OFFICER,HRI,0,2017,1,6 Sat,,2017_08,"(38.460062576716545, -122.71849226735549)",OUT WITH SUBJECT
SRP,08/18/2017 12:00:00 AM,2022,172300436,,1017,SECURITYCHECK,2,OFFICER,HRI,20,2017,1,5 Fri,,2017_08,"(38.462138920036146, -122.71621858579294)",SECURITYCHECK
SRP,08/18/2017 12:00:00 AM,1132,172300189,,CTW,CHECK THE WELFARE,8,PHONE,HRI,11,2017,1,5 Fri,,2017_08,"(38.41726832455577, -122.70930857064513)",CHECK THE WELFARE
SRP,08/18/2017 12:00:00 AM,2329,172300518,,1066,SUSPICIOUS PERSON,5,PHONE,HRI,23,2017,1,5 Fri,,2017_08,"(38.4327333253373, -122.75022700710208)",SUSPICIOUS PERSON
SRP,08/18/2017 12:00:00 AM,1506,172300293,,415,DISTURBANCE,2,PHONE,HRI,15,2017,1,5 Fri,,2017_08,"(38.4618713884972, -122.71596444641199)",DISTURBANCE
SRP,08/18/2017 12:00:00 AM,1721,172300360,,1066,SUSPICIOUS PERSON,2,OFFICER,HRI,17,2017,1,5 Fri,,2017_08,"(38.460062576716545, -122.71849226735549)",SUSPICIOUS PERSON
SRP,08/18/2017 12:00:00 AM,1535,172300315,,INFO,INFORMATION,1,PHONE,HRI,15,2017,1,5 Fri,,2017_08,"(38.46038980141903, -122.73285280888221)",OTHER
